reference_number,local_name,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,pass_number,ef_seconds,site_length,avg_wetted_width_m,enclosure,voltage,frequency,pulse,make,model,species,life_stage,age,total_num,min_length,max_length
15,125261_ds_ef2,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,Sculpin (General),parr,,1,67,67
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,6,47,62
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,6,76,98
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,juvenile,,3,111,132
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,adult,,1,153,153
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Sculpin (General),parr,,1,73,73
16,125261_us_ef1,6.4,290,clear,visual observation above water,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,65,65
16,125261_us_ef1,6.4,290,clear,visual observation above water,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,parr,,2,90,90
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,5,44,57
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,10,78,108
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,juvenile,,4,112,119
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,adult,,2,141,171
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Sculpin (General),fry,,3,30,61
17,125261_us_ef2,6.4,290,clear,visual observation above water,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,3,55,65
18,198692_ds_ef1,6,110,clear,electrofishing,,1,400,20,1.9,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,36,30,52
18,198692_ds_ef1,6,110,clear,visual observation above water,,1,400,20,1.9,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,40,40
19,198692_ds_ef2,6,110,clear,electrofishing,,1,169,4,5,open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,1,51,51
19,198692_ds_ef2,6,110,clear,electrofishing,,1,169,4,5,open,350,60,,other,halltech HT2000,Rainbow Trout,parr,,27,75,110
19,198692_ds_ef2,6,110,clear,electrofishing,,1,169,4,5,open,350,60,,other,halltech HT2000,Rainbow Trout,juvenile,,5,117,134
19,198692_ds_ef2,6,110,clear,electrofishing,,1,169,4,5,open,350,60,,other,halltech HT2000,Rainbow Trout,adult,,1,141,141
20,198692_us_ef1,6,110,clear,electrofishing,,1,254,27,1.4,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,fry,,10,43,56
20,198692_us_ef1,6,110,clear,electrofishing,,1,254,27,1.4,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,parr,,10,75,100
20,198692_us_ef1,6,110,clear,visual observation above water,,1,254,27,1.4,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,fry,,2,40,50
