reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
11,Tributary to Table River,125231_ds_ef1,00000PARS,0,11,2.6,2.8,,,,,,2.7,metre tape,1.9,2.3,,,,,,2.0999999999999996,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,7,recording meter,73,recording meter,8.2,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,549966,6065109,GPS General,"This was a newly installed bridge in 2024. The downstream end of the site is marked with pink flagging on the right bank. The bottom of the site was approximately 1-2 m upstream of 4 logs across the stream at a location of a riffle break. The top of the site is in the middle of the bridge underneath the bridge structure. Nets were set up at both upstream and downstream ends of the site. Habitat was mostly riffle with a few large cobble lines, where only the few taggable sized fish were captured. Basically no fish were captured within the construction footprint due to little complexity, except for the odd boulders from construction.          10:35:33"
12,Tributary to Table River,125231_us_ef1,00000PARS,0,12,7.5,3.1,4.2,,,,,4.933333333333334,metre tape,5,2.1,1.9,,,,,3,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,6.8,recording meter,73,recording meter,8.2,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,549973,6065136,GPS General,The bottom of the site was in the middle of the bridge and had a stop net. The top of the site was marked with flagging and a waypoint. It appears that only the bottom 15-20 m of the site was disturbed by the construction. See camera roll for more photos as form photos were not functioning correctly.          12:30:33
13,Tributary to Table River,125231_ds_ef2,00000PARS,0,13,3.5,3.2,2.9,,,,,3.1999999999999997,metre tape,2.3,2.7,1.6,,,,,2.1999999999999997,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,6.8,recording meter,73,recording meter,8.2,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,549935,6065103,GPS General,This was a newly installed bridge in 2024. The bottom of the site was located just downstream of pool and was marked with pink flagging. The top of the site is at the middle of the bridge and is the bottom of 125231_us_ef1. We fished this additional site (ef2) to collect more fish for tagging to monitor movement and health after the replacement. 14:29:37
14,Fern Creek,125261_ds_ef1,00000PARS,0,14,6.2,5.6,7.9,,,,,6.566666666666667,metre tape,2.6,4.3,4.6,,,,,3.8333333333333335,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,6.4,recording meter,290,recording meter,8.3,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,534602,6067730,GPS General,The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39
15,Fern Creek,125261_ds_ef2,00000PARS,0,15,5.9,5.6,5.8,,,,,5.766666666666667,metre tape,1.7,3.6,4.2,,,,,3.1666666666666665,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,6.4,recording meter,290,recording meter,8.3,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,534597,6067747,GPS General,The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21
16,Fern Creek,125261_us_ef1,00000PARS,0,16,4.6,5.8,3.8,,,,,4.733333333333333,metre tape,2.5,3.6,4,,,,,3.3666666666666667,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,6.4,recording meter,290,recording meter,8.3,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,534601,6067775,GPS General,The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52
17,Fern Creek,125261_us_ef2,00000PARS,0,17,5,5.9,3.4,,,,,4.766666666666667,metre tape,5,5.4,2.3,,,,,4.233333333333333,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,6.4,recording meter,290,recording meter,8.3,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,534620,6067795,GPS General,"The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58"
18,Tributary to Kerry Lake,198692_ds_ef1,00000CRKD,0,18,4.1,3.8,3.1,,,,,3.6666666666666665,metre tape,1.6,2.6,1.5,,,,,1.9000000000000001,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,6,recording meter,110,recording meter,8.2,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,511775,6059323,GPS General,"The downstream end of this site was just upstream of the first deep pool after the outlet pool. The bottom and top ends of the site were flagged. Shallow, almost intermittent riffle sections, with only small fish captured.          10:47:36"
19,Tributary to Kerry Lake,198692_ds_ef2,00000CRKD,0,19,5.4,,,,,,,5.4,metre tape,5,,,,,,,5,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,6,recording meter,110,recording meter,8.2,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,511757,6059306,GPS General,This site consisted of just the outlet pool of the culvert. The outlet pool is extremely deep and was full of fish. 10:59:43
20,Tributary to Kerry Lake,198692_us_ef1,00000CRKD,0,20,4.1,3,4.8,,,,,3.9666666666666663,metre tape,1.6,1.3,1.3,,,,,1.4000000000000001,metre tape,,,,,,,,,metre tape,,,,,,metre tape,,,,,,clinometer,low,,6,recording meter,110,recording meter,8.2,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,511725,6059299,GPS General,"The bottom end of the site is the inlet of the culvert, where we placed a net. The top end of sight is approximately 2 m upstream of the end of a large spruce tree that has fallen into the channel. Mostly very shallow riffle habitat except for one mellow pool area with undercut banks and small woody debris where most of the 60mm plus sized (tag-size) fish were captured.          14:17:01"
