reference_number,local_name,method_number,comments_step2
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 Not salmonids so no life stage specified.
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
18,198692_ds_ef1,NA,"Site 198692_ds_ef1. The downstream end of this site was just upstream of the first deep pool after the outlet pool. The bottom and top ends of the site were flagged. Shallow, almost intermittent riffle sections, with only small fish captured.          10:47:36 "
18,198692_ds_ef1,NA,"Site 198692_ds_ef1. The downstream end of this site was just upstream of the first deep pool after the outlet pool. The bottom and top ends of the site were flagged. Shallow, almost intermittent riffle sections, with only small fish captured.          10:47:36 "
19,198692_ds_ef2,NA,Site 198692_ds_ef2. This site consisted of just the outlet pool of the culvert. The outlet pool is extremely deep and was full of fish. 10:59:43 
19,198692_ds_ef2,NA,Site 198692_ds_ef2. This site consisted of just the outlet pool of the culvert. The outlet pool is extremely deep and was full of fish. 10:59:43 
19,198692_ds_ef2,NA,Site 198692_ds_ef2. This site consisted of just the outlet pool of the culvert. The outlet pool is extremely deep and was full of fish. 10:59:43 
19,198692_ds_ef2,NA,Site 198692_ds_ef2. This site consisted of just the outlet pool of the culvert. The outlet pool is extremely deep and was full of fish. 10:59:43 
20,198692_us_ef1,NA,"Site 198692_us_ef1. The bottom end of the site is the inlet of the culvert, where we placed a net. The top end of sight is approximately 2 m upstream of the end of a large spruce tree that has fallen into the channel. Mostly very shallow riffle habitat except for one mellow pool area with undercut banks and small woody debris where most of the 60mm plus sized (tag-size) fish were captured.          14:17:01 "
20,198692_us_ef1,NA,"Site 198692_us_ef1. The bottom end of the site is the inlet of the culvert, where we placed a net. The top end of sight is approximately 2 m upstream of the end of a large spruce tree that has fallen into the channel. Mostly very shallow riffle habitat except for one mellow pool area with undercut banks and small woody debris where most of the 60mm plus sized (tag-size) fish were captured.          14:17:01 "
20,198692_us_ef1,NA,"Site 198692_us_ef1. The bottom end of the site is the inlet of the culvert, where we placed a net. The top end of sight is approximately 2 m upstream of the end of a large spruce tree that has fallen into the channel. Mostly very shallow riffle habitat except for one mellow pool area with undercut banks and small woody debris where most of the 60mm plus sized (tag-size) fish were captured.          14:17:01 "
